分拣中心,日期,班次,正式工,临时工
'SC31',2023/12/14,'5-13',3,8
'SC31',2023/12/14,'8-16',2,14
'SC31',2023/12/14,'12-20',1,24
'SC31',2023/12/14,'14-22',1,11
'SC31',2023/12/14,'16-24',1,23
'SC32',2023/12/14,'0-8',1,2
'SC32',2023/12/14,'5-13',1,1
'SC32',2023/12/14,'8-16',1,1
'SC32',2023/12/14,'12-20',1,1
'SC32',2023/12/14,'14-22',1,1
'SC32',2023/12/14,'16-24',2,4
'SC34',2023/12/14,'0-8',5,16
'SC34',2023/12/14,'5-13',1,1
'SC34',2023/12/14,'8-16',8,8
'SC34',2023/12/14,'12-20',1,4
'SC34',2023/12/14,'14-22',4,1
'SC34',2023/12/14,'16-24',14,11
'SC35',2023/12/14,'0-8',3,82
'SC35',2023/12/14,'5-13',8,23
'SC35',2023/12/14,'8-16',5,32
'SC35',2023/12/14,'12-20',3,1
'SC35',2023/12/14,'14-22',1,1
'SC35',2023/12/14,'16-24',13,128
'SC36',2023/12/14,'0-8',1,1
'SC36',2023/12/14,'5-13',1,1
'SC36',2023/12/14,'8-16',1,2
'SC36',2023/12/14,'12-20',1,1
'SC36',2023/12/14,'14-22',1,1
'SC36',2023/12/14,'16-24',1,1
'SC37',2023/12/14,'0-8',1,1
'SC37',2023/12/14,'5-13',1,1
'SC37',2023/12/14,'8-16',1,2
'SC37',2023/12/14,'12-20',1,1
'SC37',2023/12/14,'14-22',1,1
'SC37',2023/12/14,'16-24',1,2
'SC38',2023/12/14,'0-8',1,10
'SC38',2023/12/14,'5-13',1,2
'SC38',2023/12/14,'8-16',1,6
'SC38',2023/12/14,'12-20',1,1
'SC38',2023/12/14,'14-22',3,1
'SC38',2023/12/14,'16-24',1,12
'SC39',2023/12/14,'0-8',5,1
'SC39',2023/12/14,'5-13',2,1
'SC39',2023/12/14,'8-16',1,3
'SC39',2023/12/14,'12-20',1,1
'SC39',2023/12/14,'14-22',1,1
'SC39',2023/12/14,'16-24',2,6
'SC4',2023/12/14,'0-8',4,121
'SC4',2023/12/14,'5-13',1,1
'SC4',2023/12/14,'8-16',7,33
'SC4',2023/12/14,'12-20',4,1
'SC4',2023/12/14,'14-22',5,1
'SC4',2023/12/14,'16-24',3,143
'SC40',2023/12/14,'0-8',1,7
'SC40',2023/12/14,'5-13',1,1
'SC40',2023/12/14,'8-16',2,5
'SC40',2023/12/14,'12-20',1,1
'SC40',2023/12/14,'14-22',2,1
'SC40',2023/12/14,'16-24',1,8
'SC41',2023/12/14,'0-8',1,2
'SC41',2023/12/14,'5-13',1,1
'SC41',2023/12/14,'8-16',1,7
'SC41',2023/12/14,'12-20',1,1
'SC41',2023/12/14,'14-22',1,1
'SC41',2023/12/14,'16-24',1,1
'SC43',2023/12/14,'0-8',3,1
'SC43',2023/12/14,'5-13',1,7
'SC43',2023/12/14,'8-16',1,6
'SC43',2023/12/14,'12-20',3,3
'SC43',2023/12/14,'14-22',2,1
'SC43',2023/12/14,'16-24',2,1
'SC44',2023/12/14,'0-8',10,6
'SC44',2023/12/14,'5-13',5,1
'SC44',2023/12/14,'8-16',5,9
'SC44',2023/12/14,'12-20',1,34
'SC44',2023/12/14,'14-22',8,3
'SC44',2023/12/14,'16-24',15,84
'SC46',2023/12/14,'0-8',2,1
'SC46',2023/12/14,'5-13',3,1
'SC46',2023/12/14,'8-16',1,7
'SC46',2023/12/14,'12-20',4,7
'SC46',2023/12/14,'14-22',3,11
'SC46',2023/12/14,'16-24',1,8
'SC47',2023/12/14,'0-8',1,168
'SC47',2023/12/14,'5-13',7,38
'SC47',2023/12/14,'8-16',14,45
'SC47',2023/12/14,'12-20',14,55
'SC47',2023/12/14,'14-22',5,3
'SC47',2023/12/14,'16-24',3,157
'SC48',2023/12/14,'0-8',1,1
'SC48',2023/12/14,'5-13',1,1
'SC48',2023/12/14,'8-16',1,1
'SC48',2023/12/14,'12-20',1,1
'SC48',2023/12/14,'14-22',1,1
'SC48',2023/12/14,'16-24',1,1
'SC49',2023/12/14,'0-8',1,38
'SC49',2023/12/14,'5-13',1,1
'SC49',2023/12/14,'8-16',7,4
'SC49',2023/12/14,'12-20',7,1
'SC49',2023/12/14,'14-22',1,10
'SC49',2023/12/14,'16-24',2,19
'SC5',2023/12/14,'0-8',9,109
'SC5',2023/12/14,'5-13',2,1
'SC5',2023/12/14,'8-16',1,41
'SC5',2023/12/14,'12-20',10,43
'SC5',2023/12/14,'14-22',14,1
'SC5',2023/12/14,'16-24',7,72
'SC51',2023/12/14,'0-8',4,48
'SC51',2023/12/14,'5-13',2,6
'SC51',2023/12/14,'8-16',1,15
'SC51',2023/12/14,'12-20',1,26
'SC51',2023/12/14,'14-22',1,1
'SC51',2023/12/14,'16-24',1,40
'SC52',2023/12/14,'0-8',4,1
'SC52',2023/12/14,'5-13',3,1
'SC52',2023/12/14,'8-16',3,1
'SC52',2023/12/14,'12-20',3,1
'SC52',2023/12/14,'14-22',1,1
'SC52',2023/12/14,'16-24',1,9
'SC53',2023/12/14,'0-8',4,65
'SC53',2023/12/14,'5-13',9,1
'SC53',2023/12/14,'8-16',1,41
'SC53',2023/12/14,'12-20',1,35
'SC53',2023/12/14,'14-22',8,10
'SC53',2023/12/14,'16-24',2,185
'SC54',2023/12/14,'0-8',10,1
'SC54',2023/12/14,'5-13',6,1
'SC54',2023/12/14,'8-16',8,10
'SC54',2023/12/14,'12-20',1,1
'SC54',2023/12/14,'14-22',1,1
'SC54',2023/12/14,'16-24',2,29
'SC55',2023/12/14,'0-8',2,1
'SC55',2023/12/14,'5-13',1,7
'SC55',2023/12/14,'8-16',1,6
'SC55',2023/12/14,'12-20',2,5
'SC55',2023/12/14,'14-22',2,1
'SC55',2023/12/14,'16-24',1,1
'SC56',2023/12/14,'0-8',1,1
'SC56',2023/12/14,'5-13',1,1
'SC56',2023/12/14,'8-16',2,1
'SC56',2023/12/14,'12-20',2,1
'SC56',2023/12/14,'14-22',1,1
'SC56',2023/12/14,'16-24',2,4
'SC57',2023/12/14,'0-8',1,54
'SC57',2023/12/14,'5-13',3,4
'SC57',2023/12/14,'8-16',2,10
'SC57',2023/12/14,'12-20',6,1
'SC57',2023/12/14,'14-22',3,9
'SC57',2023/12/14,'16-24',3,22
'SC58',2023/12/14,'0-8',1,1
'SC58',2023/12/14,'5-13',1,1
'SC58',2023/12/14,'8-16',1,1
'SC58',2023/12/14,'12-20',1,1
'SC58',2023/12/14,'14-22',1,1
'SC58',2023/12/14,'16-24',1,4
'SC6',2023/12/14,'0-8',1,89
'SC6',2023/12/14,'5-13',2,23
'SC6',2023/12/14,'8-16',4,17
'SC6',2023/12/14,'12-20',1,1
'SC6',2023/12/14,'14-22',3,10
'SC6',2023/12/14,'16-24',13,111
'SC60',2023/12/14,'0-8',2,248
'SC60',2023/12/14,'5-13',13,5
'SC60',2023/12/14,'8-16',8,71
'SC60',2023/12/14,'12-20',3,19
'SC60',2023/12/14,'14-22',1,16
'SC60',2023/12/14,'16-24',26,223
'SC61',2023/12/14,'0-8',1,1
'SC61',2023/12/14,'5-13',1,1
'SC61',2023/12/14,'8-16',1,1
'SC61',2023/12/14,'12-20',1,1
'SC61',2023/12/14,'14-22',1,1
'SC61',2023/12/14,'16-24',1,3
'SC63',2023/12/14,'0-8',1,2
'SC63',2023/12/14,'5-13',1,1
'SC63',2023/12/14,'8-16',1,5
'SC63',2023/12/14,'12-20',1,1
'SC63',2023/12/14,'14-22',1,1
'SC63',2023/12/14,'16-24',1,3
'SC66',2023/12/14,'0-8',1,1
'SC66',2023/12/14,'5-13',1,1
'SC66',2023/12/14,'8-16',1,3
'SC66',2023/12/14,'12-20',1,1
'SC66',2023/12/14,'14-22',1,1
'SC66',2023/12/14,'16-24',1,1
'SC68',2023/12/14,'0-8',1,1
'SC68',2023/12/14,'5-13',1,1
'SC68',2023/12/14,'8-16',4,1
'SC68',2023/12/14,'12-20',1,1
'SC68',2023/12/14,'14-22',1,1
'SC68',2023/12/14,'16-24',4,2
'SC7',2023/12/14,'0-8',3,120
'SC7',2023/12/14,'5-13',1,1
'SC7',2023/12/14,'8-16',5,76
'SC7',2023/12/14,'12-20',1,46
'SC7',2023/12/14,'14-22',1,7
'SC7',2023/12/14,'16-24',8,118
'SC8',2023/12/14,'0-8',11,126
'SC8',2023/12/14,'5-13',1,14
'SC8',2023/12/14,'8-16',12,53
'SC8',2023/12/14,'12-20',2,33
'SC8',2023/12/14,'14-22',5,13
'SC8',2023/12/14,'16-24',21,123
'SC9',2023/12/14,'0-8',1,108
'SC9',2023/12/14,'5-13',2,71
'SC9',2023/12/14,'8-16',1,20
'SC9',2023/12/14,'12-20',1,1
'SC9',2023/12/14,'14-22',7,8
'SC9',2023/12/14,'16-24',11,44
'SC1',2023/12/15,'0-8',5,124
'SC1',2023/12/15,'5-13',1,9
'SC1',2023/12/15,'8-16',2,73
'SC1',2023/12/15,'12-20',9,4
'SC1',2023/12/15,'14-22',1,1
'SC1',2023/12/15,'16-24',16,110
'SC10',2023/12/15,'0-8',1,153
'SC10',2023/12/15,'5-13',5,31
'SC10',2023/12/15,'8-16',5,34
'SC10',2023/12/15,'12-20',1,8
'SC10',2023/12/15,'14-22',11,9
'SC10',2023/12/15,'16-24',27,159
'SC12',2023/12/15,'0-8',1,5
'SC12',2023/12/15,'5-13',1,15
'SC12',2023/12/15,'8-16',1,1
'SC12',2023/12/15,'12-20',6,6
'SC12',2023/12/15,'14-22',6,1
'SC12',2023/12/15,'16-24',3,1
'SC14',2023/12/15,'0-8',1,1
'SC14',2023/12/15,'5-13',1,1
'SC14',2023/12/15,'8-16',1,5
'SC14',2023/12/15,'12-20',1,1
'SC14',2023/12/15,'14-22',1,2
'SC14',2023/12/15,'16-24',1,3
'SC15',2023/12/15,'0-8',5,13
'SC15',2023/12/15,'5-13',6,1
'SC15',2023/12/15,'8-16',1,17
'SC15',2023/12/15,'12-20',3,1
'SC15',2023/12/15,'14-22',1,2
'SC15',2023/12/15,'16-24',1,21
'SC16',2023/12/15,'0-8',2,2
'SC16',2023/12/15,'5-13',2,1
'SC16',2023/12/15,'8-16',1,2
'SC16',2023/12/15,'12-20',1,2
'SC16',2023/12/15,'14-22',1,1
'SC16',2023/12/15,'16-24',1,4
'SC17',2023/12/15,'0-8',2,60
'SC17',2023/12/15,'5-13',1,9
'SC17',2023/12/15,'8-16',1,19
'SC17',2023/12/15,'12-20',10,1
'SC17',2023/12/15,'14-22',7,29
'SC17',2023/12/15,'16-24',8,55
'SC18',2023/12/15,'0-8',5,1
'SC18',2023/12/15,'5-13',7,1
'SC18',2023/12/15,'8-16',7,1
'SC18',2023/12/15,'12-20',2,1
'SC18',2023/12/15,'14-22',7,1
'SC18',2023/12/15,'16-24',6,23
'SC19',2023/12/15,'0-8',1,8
'SC19',2023/12/15,'5-13',1,4
'SC19',2023/12/15,'8-16',1,6
'SC19',2023/12/15,'12-20',1,7
'SC19',2023/12/15,'14-22',1,3
'SC19',2023/12/15,'16-24',1,15
'SC2',2023/12/15,'0-8',2,7
'SC2',2023/12/15,'5-13',1,13
'SC2',2023/12/15,'8-16',1,5
'SC2',2023/12/15,'12-20',1,6
'SC2',2023/12/15,'14-22',1,12
'SC2',2023/12/15,'16-24',1,24
'SC20',2023/12/15,'0-8',1,1
'SC20',2023/12/15,'5-13',1,1
'SC20',2023/12/15,'8-16',1,1
'SC20',2023/12/15,'12-20',1,1
'SC20',2023/12/15,'14-22',1,1
'SC20',2023/12/15,'16-24',1,1
'SC21',2023/12/15,'0-8',1,1
'SC21',2023/12/15,'5-13',1,1
'SC21',2023/12/15,'8-16',1,2
'SC21',2023/12/15,'12-20',1,1
'SC21',2023/12/15,'14-22',1,1
'SC21',2023/12/15,'16-24',1,4
'SC22',2023/12/15,'0-8',2,14
'SC22',2023/12/15,'5-13',3,13
'SC22',2023/12/15,'8-16',3,1
'SC22',2023/12/15,'12-20',2,11
'SC22',2023/12/15,'14-22',1,1
'SC22',2023/12/15,'16-24',2,21
'SC23',2023/12/15,'0-8',1,1
'SC23',2023/12/15,'5-13',1,2
'SC23',2023/12/15,'8-16',1,7
'SC23',2023/12/15,'12-20',1,1
'SC23',2023/12/15,'14-22',1,2
'SC23',2023/12/15,'16-24',4,6
'SC24',2023/12/15,'0-8',3,1
'SC24',2023/12/15,'5-13',1,15
'SC24',2023/12/15,'8-16',1,3
'SC24',2023/12/15,'12-20',2,17
'SC24',2023/12/15,'14-22',1,1
'SC24',2023/12/15,'16-24',5,1
'SC25',2023/12/15,'0-8',9,158
'SC25',2023/12/15,'5-13',1,1
'SC25',2023/12/15,'8-16',4,61
'SC25',2023/12/15,'12-20',13,1
'SC25',2023/12/15,'14-22',5,1
'SC25',2023/12/15,'16-24',1,233
'SC26',2023/12/15,'0-8',1,3
'SC26',2023/12/15,'5-13',1,10
'SC26',2023/12/15,'8-16',5,4
'SC26',2023/12/15,'12-20',1,6
'SC26',2023/12/15,'14-22',1,1
'SC26',2023/12/15,'16-24',5,1
'SC27',2023/12/15,'0-8',1,2
'SC27',2023/12/15,'5-13',1,2
'SC27',2023/12/15,'8-16',2,7
'SC27',2023/12/15,'12-20',1,1
'SC27',2023/12/15,'14-22',1,1
'SC27',2023/12/15,'16-24',3,13
'SC28',2023/12/15,'0-8',1,1
'SC28',2023/12/15,'5-13',1,1
'SC28',2023/12/15,'8-16',1,1
'SC28',2023/12/15,'12-20',1,1
'SC28',2023/12/15,'14-22',1,1
'SC28',2023/12/15,'16-24',1,2
'SC29',2023/12/15,'0-8',1,9
'SC29',2023/12/15,'5-13',1,12
'SC29',2023/12/15,'8-16',1,7
'SC29',2023/12/15,'12-20',6,1
'SC29',2023/12/15,'14-22',1,1
'SC29',2023/12/15,'16-24',10,19
'SC3',2023/12/15,'0-8',2,89
'SC3',2023/12/15,'5-13',1,28
'SC3',2023/12/15,'8-16',1,9
'SC3',2023/12/15,'12-20',1,5
'SC3',2023/12/15,'14-22',3,19
'SC3',2023/12/15,'16-24',3,28
'SC30',2023/12/15,'0-8',3,2
'SC30',2023/12/15,'5-13',1,1
'SC30',2023/12/15,'8-16',1,7
'SC30',2023/12/15,'12-20',2,8
'SC30',2023/12/15,'14-22',4,1
'SC30',2023/12/15,'16-24',4,4
'SC31',2023/12/15,'0-8',5,45
'SC31',2023/12/15,'5-13',8,1
'SC31',2023/12/15,'8-16',3,13
'SC31',2023/12/15,'12-20',8,14
'SC31',2023/12/15,'14-22',1,10
'SC31',2023/12/15,'16-24',1,24
'SC32',2023/12/15,'0-8',1,2
'SC32',2023/12/15,'5-13',1,1
'SC32',2023/12/15,'8-16',1,1
'SC32',2023/12/15,'12-20',1,1
'SC32',2023/12/15,'14-22',1,1
'SC32',2023/12/15,'16-24',1,5
'SC34',2023/12/15,'0-8',1,22
'SC34',2023/12/15,'5-13',1,12
'SC34',2023/12/15,'8-16',1,6
'SC34',2023/12/15,'12-20',1,16
'SC34',2023/12/15,'14-22',3,1
'SC34',2023/12/15,'16-24',1,28
'SC35',2023/12/15,'0-8',7,78
'SC35',2023/12/15,'5-13',1,55
'SC35',2023/12/15,'8-16',4,10
'SC35',2023/12/15,'12-20',1,1
'SC35',2023/12/15,'14-22',6,22
'SC35',2023/12/15,'16-24',3,142
'SC36',2023/12/15,'0-8',1,1
'SC36',2023/12/15,'5-13',1,1
'SC36',2023/12/15,'8-16',1,2
'SC36',2023/12/15,'12-20',1,1
'SC36',2023/12/15,'14-22',1,1
'SC36',2023/12/15,'16-24',1,1
'SC37',2023/12/15,'0-8',1,1
'SC37',2023/12/15,'5-13',1,1
'SC37',2023/12/15,'8-16',1,2
'SC37',2023/12/15,'12-20',1,2
'SC37',2023/12/15,'14-22',1,1
'SC37',2023/12/15,'16-24',1,2
'SC38',2023/12/15,'0-8',1,10
'SC38',2023/12/15,'5-13',1,5
'SC38',2023/12/15,'8-16',1,4
'SC38',2023/12/15,'12-20',2,1
'SC38',2023/12/15,'14-22',1,1
'SC38',2023/12/15,'16-24',1,12
'SC39',2023/12/15,'0-8',2,4
'SC39',2023/12/15,'5-13',1,1
'SC39',2023/12/15,'8-16',1,3
'SC39',2023/12/15,'12-20',1,1
'SC39',2023/12/15,'14-22',1,1
'SC39',2023/12/15,'16-24',1,7
'SC4',2023/12/15,'0-8',2,124
'SC4',2023/12/15,'5-13',2,1
'SC4',2023/12/15,'8-16',2,30
'SC4',2023/12/15,'12-20',5,9
'SC4',2023/12/15,'14-22',7,4
'SC4',2023/12/15,'16-24',33,106
'SC40',2023/12/15,'0-8',4,3
'SC40',2023/12/15,'5-13',2,1
'SC40',2023/12/15,'8-16',4,3
'SC40',2023/12/15,'12-20',1,1
'SC40',2023/12/15,'14-22',1,1
'SC40',2023/12/15,'16-24',1,8
'SC41',2023/12/15,'0-8',1,1
'SC41',2023/12/15,'5-13',1,1
'SC41',2023/12/15,'8-16',2,5
'SC41',2023/12/15,'12-20',1,1
'SC41',2023/12/15,'14-22',1,1
'SC41',2023/12/15,'16-24',1,1
'SC43',2023/12/15,'0-8',4,1
'SC43',2023/12/15,'5-13',2,2
'SC43',2023/12/15,'8-16',4,6
'SC43',2023/12/15,'12-20',1,2
'SC43',2023/12/15,'14-22',1,5
'SC43',2023/12/15,'16-24',1,1
'SC44',2023/12/15,'0-8',3,25
'SC44',2023/12/15,'5-13',3,1
'SC44',2023/12/15,'8-16',2,15
'SC44',2023/12/15,'12-20',4,29
'SC44',2023/12/15,'14-22',4,4
'SC44',2023/12/15,'16-24',18,85
'SC46',2023/12/15,'0-8',2,1
'SC46',2023/12/15,'5-13',1,1
'SC46',2023/12/15,'8-16',1,11
'SC46',2023/12/15,'12-20',2,3
'SC46',2023/12/15,'14-22',8,8
'SC46',2023/12/15,'16-24',10,1
'SC47',2023/12/15,'0-8',4,162
'SC47',2023/12/15,'5-13',18,22
'SC47',2023/12/15,'8-16',11,57
'SC47',2023/12/15,'12-20',10,16
'SC47',2023/12/15,'14-22',4,39
'SC47',2023/12/15,'16-24',1,158
'SC48',2023/12/15,'0-8',1,1
'SC48',2023/12/15,'5-13',1,1
'SC48',2023/12/15,'8-16',1,1
'SC48',2023/12/15,'12-20',1,1
'SC48',2023/12/15,'14-22',1,1
'SC48',2023/12/15,'16-24',1,1
'SC49',2023/12/15,'0-8',1,39
'SC49',2023/12/15,'5-13',9,1
'SC49',2023/12/15,'8-16',8,10
'SC49',2023/12/15,'12-20',1,2
'SC49',2023/12/15,'14-22',10,6
'SC49',2023/12/15,'16-24',1,13
'SC5',2023/12/15,'0-8',1,117
'SC5',2023/12/15,'5-13',1,1
'SC5',2023/12/15,'8-16',4,48
'SC5',2023/12/15,'12-20',6,36
'SC5',2023/12/15,'14-22',2,12
'SC5',2023/12/15,'16-24',2,78
'SC51',2023/12/15,'0-8',2,51
'SC51',2023/12/15,'5-13',2,1
'SC51',2023/12/15,'8-16',1,22
'SC51',2023/12/15,'12-20',1,19
'SC51',2023/12/15,'14-22',5,1
'SC51',2023/12/15,'16-24',1,41
'SC52',2023/12/15,'0-8',1,4
'SC52',2023/12/15,'5-13',4,1
'SC52',2023/12/15,'8-16',2,1
'SC52',2023/12/15,'12-20',2,1
'SC52',2023/12/15,'14-22',3,1
'SC52',2023/12/15,'16-24',1,9
'SC53',2023/12/15,'0-8',4,65
'SC53',2023/12/15,'5-13',16,1
'SC53',2023/12/15,'8-16',1,1
'SC53',2023/12/15,'12-20',1,72
'SC53',2023/12/15,'14-22',18,1
'SC53',2023/12/15,'16-24',15,168
'SC54',2023/12/15,'0-8',1,9
'SC54',2023/12/15,'5-13',1,7
'SC54',2023/12/15,'8-16',2,13
'SC54',2023/12/15,'12-20',1,6
'SC54',2023/12/15,'14-22',1,1
'SC54',2023/12/15,'16-24',1,31
'SC55',2023/12/15,'0-8',1,2
'SC55',2023/12/15,'5-13',2,6
'SC55',2023/12/15,'8-16',1,5
'SC55',2023/12/15,'12-20',2,6
'SC55',2023/12/15,'14-22',1,1
'SC55',2023/12/15,'16-24',1,1
'SC56',2023/12/15,'0-8',1,1
'SC56',2023/12/15,'5-13',2,1
'SC56',2023/12/15,'8-16',1,1
'SC56',2023/12/15,'12-20',1,1
'SC56',2023/12/15,'14-22',1,1
'SC56',2023/12/15,'16-24',2,4
'SC57',2023/12/15,'0-8',2,52
'SC57',2023/12/15,'5-13',1,1
'SC57',2023/12/15,'8-16',3,14
'SC57',2023/12/15,'12-20',2,1
'SC57',2023/12/15,'14-22',1,1
'SC57',2023/12/15,'16-24',4,21
'SC58',2023/12/15,'0-8',1,1
'SC58',2023/12/15,'5-13',1,1
'SC58',2023/12/15,'8-16',1,1
'SC58',2023/12/15,'12-20',1,1
'SC58',2023/12/15,'14-22',1,1
'SC58',2023/12/15,'16-24',1,5
'SC6',2023/12/15,'0-8',12,76
'SC6',2023/12/15,'5-13',8,1
'SC6',2023/12/15,'8-16',4,32
'SC6',2023/12/15,'12-20',2,30
'SC6',2023/12/15,'14-22',7,5
'SC6',2023/12/15,'16-24',1,128
'SC60',2023/12/15,'0-8',4,243
'SC60',2023/12/15,'5-13',15,28
'SC60',2023/12/15,'8-16',4,49
'SC60',2023/12/15,'12-20',3,45
'SC60',2023/12/15,'14-22',13,1
'SC60',2023/12/15,'16-24',6,246
'SC61',2023/12/15,'0-8',1,1
'SC61',2023/12/15,'5-13',1,1
'SC61',2023/12/15,'8-16',1,1
'SC61',2023/12/15,'12-20',1,1
'SC61',2023/12/15,'14-22',1,1
'SC61',2023/12/15,'16-24',1,2
'SC63',2023/12/15,'0-8',2,1
'SC63',2023/12/15,'5-13',1,1
'SC63',2023/12/15,'8-16',1,6
'SC63',2023/12/15,'12-20',2,1
'SC63',2023/12/15,'14-22',2,1
'SC63',2023/12/15,'16-24',1,1
'SC66',2023/12/15,'0-8',1,1
'SC66',2023/12/15,'5-13',1,1
'SC66',2023/12/15,'8-16',1,3
'SC66',2023/12/15,'12-20',1,1
'SC66',2023/12/15,'14-22',1,1
'SC66',2023/12/15,'16-24',1,1
'SC68',2023/12/15,'0-8',1,1
'SC68',2023/12/15,'5-13',1,1
'SC68',2023/12/15,'8-16',1,3
'SC68',2023/12/15,'12-20',1,1
'SC68',2023/12/15,'14-22',1,1
'SC68',2023/12/15,'16-24',1,5
'SC7',2023/12/15,'0-8',1,124
'SC7',2023/12/15,'5-13',4,5
'SC7',2023/12/15,'8-16',9,25
'SC7',2023/12/15,'12-20',10,82
'SC7',2023/12/15,'14-22',9,1
'SC7',2023/12/15,'16-24',7,121
'SC8',2023/12/15,'0-8',4,137
'SC8',2023/12/15,'5-13',10,44
'SC8',2023/12/15,'8-16',1,23
'SC8',2023/12/15,'12-20',4,35
'SC8',2023/12/15,'14-22',12,46
'SC8',2023/12/15,'16-24',17,130
'SC9',2023/12/15,'0-8',13,94
'SC9',2023/12/15,'5-13',3,32
'SC9',2023/12/15,'8-16',5,53
'SC9',2023/12/15,'12-20',3,1
'SC9',2023/12/15,'14-22',8,1
'SC9',2023/12/15,'16-24',1,56
'SC1',2023/12/16,'0-8',6,128
'SC1',2023/12/16,'5-13',2,1
'SC1',2023/12/16,'8-16',1,93
'SC1',2023/12/16,'12-20',5,1
'SC1',2023/12/16,'14-22',5,1
'SC1',2023/12/16,'16-24',21,108
'SC10',2023/12/16,'0-8',7,145
'SC10',2023/12/16,'5-13',4,5
'SC10',2023/12/16,'8-16',4,44
'SC10',2023/12/16,'12-20',6,1
'SC10',2023/12/16,'14-22',3,9
'SC10',2023/12/16,'16-24',1,201
'SC12',2023/12/16,'0-8',2,3
'SC12',2023/12/16,'5-13',2,11
'SC12',2023/12/16,'8-16',1,4
'SC12',2023/12/16,'12-20',4,5
'SC12',2023/12/16,'14-22',1,1
'SC12',2023/12/16,'16-24',2,1
'SC14',2023/12/16,'0-8',1,1
'SC14',2023/12/16,'5-13',1,1
'SC14',2023/12/16,'8-16',1,6
'SC14',2023/12/16,'12-20',1,1
'SC14',2023/12/16,'14-22',2,1
'SC14',2023/12/16,'16-24',1,3
'SC15',2023/12/16,'0-8',1,17
'SC15',2023/12/16,'5-13',1,12
'SC15',2023/12/16,'8-16',1,11
'SC15',2023/12/16,'12-20',1,4
'SC15',2023/12/16,'14-22',2,1
'SC15',2023/12/16,'16-24',6,14
'SC16',2023/12/16,'0-8',2,2
'SC16',2023/12/16,'5-13',1,1
'SC16',2023/12/16,'8-16',1,3
'SC16',2023/12/16,'12-20',2,1
'SC16',2023/12/16,'14-22',1,1
'SC16',2023/12/16,'16-24',2,3
'SC17',2023/12/16,'0-8',1,60
'SC17',2023/12/16,'5-13',1,11
'SC17',2023/12/16,'8-16',1,16
'SC17',2023/12/16,'12-20',1,1
'SC17',2023/12/16,'14-22',2,34
'SC17',2023/12/16,'16-24',13,47
'SC18',2023/12/16,'0-8',1,5
'SC18',2023/12/16,'5-13',3,1
'SC18',2023/12/16,'8-16',3,4
'SC18',2023/12/16,'12-20',5,1
'SC18',2023/12/16,'14-22',3,1
'SC18',2023/12/16,'16-24',2,30
'SC19',2023/12/16,'0-8',1,8
'SC19',2023/12/16,'5-13',2,1
'SC19',2023/12/16,'8-16',1,8
'SC19',2023/12/16,'12-20',2,1
'SC19',2023/12/16,'14-22',3,5
'SC19',2023/12/16,'16-24',2,15
'SC2',2023/12/16,'0-8',3,5
'SC2',2023/12/16,'5-13',5,11
'SC2',2023/12/16,'8-16',1,2
'SC2',2023/12/16,'12-20',2,12
'SC2',2023/12/16,'14-22',1,7
'SC2',2023/12/16,'16-24',2,22
'SC20',2023/12/16,'0-8',1,1
'SC20',2023/12/16,'5-13',1,1
'SC20',2023/12/16,'8-16',1,1
'SC20',2023/12/16,'12-20',1,1
'SC20',2023/12/16,'14-22',1,1
'SC20',2023/12/16,'16-24',1,1
'SC21',2023/12/16,'0-8',1,1
'SC21',2023/12/16,'5-13',1,1
'SC21',2023/12/16,'8-16',1,2
'SC21',2023/12/16,'12-20',1,1
'SC21',2023/12/16,'14-22',1,1
'SC21',2023/12/16,'16-24',1,4
'SC22',2023/12/16,'0-8',4,12
'SC22',2023/12/16,'5-13',1,1
'SC22',2023/12/16,'8-16',1,19
'SC22',2023/12/16,'12-20',1,1
'SC22',2023/12/16,'14-22',5,1
'SC22',2023/12/16,'16-24',1,23
'SC23',2023/12/16,'0-8',1,1
'SC23',2023/12/16,'5-13',3,1
'SC23',2023/12/16,'8-16',5,3
'SC23',2023/12/16,'12-20',1,1
'SC23',2023/12/16,'14-22',4,1
'SC23',2023/12/16,'16-24',1,10
'SC24',2023/12/16,'0-8',1,6
'SC24',2023/12/16,'5-13',5,1
'SC24',2023/12/16,'8-16',5,9
'SC24',2023/12/16,'12-20',4,2
'SC24',2023/12/16,'14-22',1,1
'SC24',2023/12/16,'16-24',1,9
'SC25',2023/12/16,'0-8',10,157
'SC25',2023/12/16,'5-13',3,1
'SC25',2023/12/16,'8-16',6,22
'SC25',2023/12/16,'12-20',11,76
'SC25',2023/12/16,'14-22',1,1
'SC25',2023/12/16,'16-24',3,231
'SC26',2023/12/16,'0-8',2,3
'SC26',2023/12/16,'5-13',2,6
'SC26',2023/12/16,'8-16',4,8
'SC26',2023/12/16,'12-20',1,6
'SC26',2023/12/16,'14-22',2,1
'SC26',2023/12/16,'16-24',4,1
'SC27',2023/12/16,'0-8',1,2
'SC27',2023/12/16,'5-13',2,7
'SC27',2023/12/16,'8-16',1,3
'SC27',2023/12/16,'12-20',2,2
'SC27',2023/12/16,'14-22',1,1
'SC27',2023/12/16,'16-24',1,16
'SC28',2023/12/16,'0-8',1,1
'SC28',2023/12/16,'5-13',1,1
'SC28',2023/12/16,'8-16',1,1
'SC28',2023/12/16,'12-20',1,1
'SC28',2023/12/16,'14-22',1,1
'SC28',2023/12/16,'16-24',1,2
